Conf,Title,Link
AAAI2019,Building Ethically Bounded AI.,https://doi.org/10.1609/aaai.v33i01.33019785
AAAI2019,Cogra - Concept-Drift-Aware Stochastic Gradient Descent for Time-Series Forecasting.,https://doi.org/10.1609/aaai.v33i01.33014594
AAAI2019,Context-Aware Self-Attention Networks.,https://doi.org/10.1609/aaai.v33i01.3301387
AAAI2019,Convex Formulations for Fair Principal Component Analysis.,https://doi.org/10.1609/aaai.v33i01.3301663
AAAI2019,Deep Bayesian Trust - A Dominant and Fair Incentive Mechanism for Crowd.,https://doi.org/10.1609/aaai.v33i01.33011996
AAAI2019,Deep Metric Learning by Online Soft Mining and Class-Aware Attention.,https://doi.org/10.1609/aaai.v33i01.33015361
AAAI2019,Deep Transformation Method for Discriminant Analysis of Multi-Channel Resting State fMRI.,https://doi.org/10.1609/aaai.v33i01.33012556
AAAI2019,DeepSTN+ - Context-Aware Spatial-Temporal Neural Network for Crowd Flow Prediction in Metropolis.,https://doi.org/10.1609/aaai.v33i01.33011020
AAAI2019,Difficulty-Aware Attention Network with Confidence Learning for Medical Image Segmentation.,https://doi.org/10.1609/aaai.v33i01.33011085
AAAI2019,Discriminative Feature Learning for Unsupervised Video Summarization.,https://doi.org/10.1609/aaai.v33i01.33018537
AAAI2019,Dynamic Compositionality in Recursive Neural Networks with Structure-Aware Tag Representations.,https://doi.org/10.1609/aaai.v33i01.33016594
AAAI2019,EWGAN - Entropy-Based Wasserstein GAN for Imbalanced Learning.,https://doi.org/10.1609/aaai.v33i01.330110011
AAAI2019,Eliminating Latent Discrimination - Train Then Mask.,https://doi.org/10.1609/aaai.v33i01.33013672
AAAI2019,End-to-End Structure-Aware Convolutional Networks for Knowledge Base Completion.,https://doi.org/10.1609/aaai.v33i01.33013060
AAAI2019,Ethically Aligned Mobilization of Community Effort to Reposition Shared Bikes.,https://doi.org/10.1609/aaai.v33i01.33019983
AAAI2019,Evolution of Collective Fairness in Hybrid Populations of Humans and Agents.,https://doi.org/10.1609/aaai.v33i01.33016146
AAAI2019,Exploiting Synthetically Generated Data with Semi-Supervised Learning for Small and Imbalanced Datasets.,https://doi.org/10.1609/aaai.v33i01.33014715
AAAI2019,Fair Division with a Secretive Agent.,https://doi.org/10.1609/aaai.v33i01.33011732
AAAI2019,Fair Knapsack.,https://doi.org/10.1609/aaai.v33i01.33011941
AAAI2019,Fair and Efficient Memory Sharing - Confronting Free Riders.,https://doi.org/10.1609/aaai.v33i01.33011965
AAAI2019,Fairly Allocating Many Goods with Few Queries.,https://doi.org/10.1609/aaai.v33i01.33012141
AAAI2019,Forbidden Nodes Aware Community Search.,https://doi.org/10.1609/aaai.v33i01.3301758
AAAI2019,Functional Connectivity Network Analysis with Discriminative Hub Detection for Brain Disease Identification.,https://doi.org/10.1609/aaai.v33i01.33011198
AAAI2019,Geometry-Aware Face Completion and Editing.,https://doi.org/10.1609/aaai.v33i01.33012506
AAAI2019,Group Fairness for the Allocation of Indivisible Goods.,https://doi.org/10.1609/aaai.v33i01.33011853
AAAI2019,Identification of Causal Effects in the Presence of Selection Bias.,https://doi.org/10.1609/aaai.v33i01.33012744
AAAI2019,InfoVAE - Balancing Learning and Inference in Variational Autoencoders.,https://doi.org/10.1609/aaai.v33i01.33015885
AAAI2019,Instance-Level Facial Attributes Transfer with Geometry-Aware Flow.,https://doi.org/10.1609/aaai.v33i01.33019111
AAAI2019,Interaction-Aware Factorization Machines for Recommender Systems.,https://doi.org/10.1609/aaai.v33i01.33013804
AAAI2019,Joint Domain Alignment and Discriminative Feature Learning for Unsupervised Deep Domain Adaptation.,https://doi.org/10.1609/aaai.v33i01.33013296
AAAI2019,KVQA - Knowledge-Aware Visual Question Answering.,https://doi.org/10.1609/aaai.v33i01.33018876
AAAI2019,Knowledge Tracing Machines - Factorization Machines for Knowledge Tracing.,https://doi.org/10.1609/aaai.v33i01.3301750
AAAI2019,Learning Anytime Predictions in Neural Networks via Adaptive Loss Balancing.,https://doi.org/10.1609/aaai.v33i01.33013812
AAAI2019,Learning Competitive and Discriminative Reconstructions for Anomaly Detection.,https://doi.org/10.1609/aaai.v33i01.33015167
AAAI2019,Learning Optimal and Fair Decision Trees for Non-Discriminative Decision-Making.,https://doi.org/10.1609/aaai.v33i01.33011418
AAAI2019,Learning from Web Data Using Adversarial Discriminative Neural Networks for Fine-Grained Classification.,https://doi.org/10.1609/aaai.v33i01.3301273
AAAI2019,Learning to Compose Topic-Aware Mixture of Experts for Zero-Shot Video Captioning.,https://doi.org/10.1609/aaai.v33i01.33018965
AAAI2019,Loss-Balanced Task Weighting to Reduce Negative Transfer in Multi-Task Learning.,https://doi.org/10.1609/aaai.v33i01.33019977
AAAI2019,Matroid Constrained Fair Allocation Problem.,https://doi.org/10.1609/aaai.v33i01.33019921
AAAI2019,Multi-View Learning from Disparate Sources for Poverty Mapping.,https://doi.org/10.1609/aaai.v33i01.33019892
AAAI2019,On Fair Cost Sharing Games in Machine Learning.,https://doi.org/10.1609/aaai.v33i01.33014790
AAAI2019,One-Network Adversarial Fairness.,https://doi.org/10.1609/aaai.v33i01.33012412
AAAI2019,Outlier Aware Network Embedding for Attributed Networks.,https://doi.org/10.1609/aaai.v33i01.330112
AAAI2019,Oversampling for Imbalanced Data via Optimal Transport.,https://doi.org/10.1609/aaai.v33i01.33015605
