,,Overall (%),,,,,Per-class (%),,,,
Technique,Metric,Mean,Max,Min,MaxDiff,STDEV,Mean,Max,Min,MaxDiff,STDEV
,FPSF,4.8,5.4,4.3,1.1,0.2,7.3,8.7,6.8,1.9,0.4
,EOFP,22.0,24.3,19.6,4.7,1.2,29.7,35.4,27.8,7.6,1.7
,EOTP,22.0,24.3,19.6,4.7,1.2,29.7,35.4,27.8,7.6,1.7
,BA,4.9,7.8,3.6,4.1,1.2,6.9,11.4,5.4,6.0,1.5
N-Base,DP,67.7,67.7,67.7,0.0,<0.1,67.7,67.7,67.7,0.0,0.0
,DI bar,80.9,80.9,80.9,0.0,<0.1,77.6,77.6,77.6,0.0,<0.1
,SPSF,33.0,33.0,33.0,0.0,<0.1,33.0,33.0,33.0,0.0,<0.1
,FPSF,17.0,17.0,17.0,0.0,0.0,16.3,16.3,16.3,0.0,0.0
,EOFP,71.7,71.7,71.7,0.0,<0.1,75.6,75.6,75.6,0.0,<0.1
,EOTP,71.7,71.7,71.7,0.0,<0.1,67.8,67.8,67.8,0.0,<0.1
,BA,41.1,41.1,41.1,0.0,<0.1,34.8,34.8,34.8,0.0,<0.1
N-Flow,DP,10.8,11.3,9.8,1.5,0.4,10.8,11.3,9.8,1.5,0.4
,DI bar,19.6,20.4,17.9,2.5,0.6,20.7,22.4,18.8,3.6,0.9
,SPSF,5.3,5.5,4.8,0.7,0.2,5.3,5.5,4.8,0.7,0.2
,FPSF,0.5,0.6,0.4,0.2,<0.1,0.7,1.1,0.5,0.5,0.1
,EOFP,2.0,2.5,1.6,1.0,0.3,2.7,4.1,2.0,2.1,0.5
,EOTP,2.0,2.5,1.6,1.0,0.3,2.7,4.1,2.0,2.1,0.5
,BA,1.8,2.3,1.5,0.8,0.2,1.8,2.4,1.3,1.1,0.3
